,n_of_feature,score
143,143,0.5596580816299473
144,144,0.5595485597806482
145,145,0.5603752199285514
146,146,0.5603004747214985
147,147,0.5592069436318007
148,148,0.5547722204464403
149,149,0.561494928542486
150,150,0.5595592626225666
151,151,0.5617770426229935
152,152,0.5593071797361264
153,153,0.5603194774068808
154,154,0.5615223866555631
155,155,0.5613303869017817
156,156,0.5634995726199451
157,157,0.5613971681068174
158,158,0.5613090627378888
159,159,0.5637216479774161
160,160,0.5579020087964571
161,161,0.5603927714400165
162,162,0.5635675300891645
163,163,0.556490582985658
164,164,0.5604021450969313
165,165,0.5602710560649935
166,166,0.5617107391218736
167,167,0.5588918653913703
168,168,0.5550704889824244
169,169,0.5598419256685807
170,170,0.5567846548819588
171,171,0.5592785233117981
172,172,0.5625349355238939
173,173,0.5623141707072032
174,174,0.560651496526483
175,175,0.5624830845025297
176,176,0.5615807068048032
177,177,0.561315526522904
178,178,0.5635040090022013
179,179,0.5575546301062129
180,180,0.565806900784563
181,181,0.5573497549570381
182,182,0.5601467890732554
183,183,0.5590777916063503
184,184,0.5623009142020265
185,185,0.5583229882571104
186,186,0.5633730301177157
187,187,0.5604714967483124
188,188,0.5587216854548801
189,189,0.5630256982513252
190,190,0.5648806055399775
191,191,0.5637476711942716
192,192,0.5655267758371306
193,193,0.5632275695211707
194,194,0.5606973167424909
195,195,0.5575875049322667
196,196,0.5651659987406822
197,197,0.5600228754426195
198,198,0.5609561649239272
199,199,0.56127739313272
200,200,0.5580770059336976
201,201,0.5598456594673054
202,202,0.5624110804141912
203,203,0.5601686415164882
204,204,0.5572300967601109
205,205,0.5612321721364961
206,206,0.5560379698099964
207,207,0.5612893673663549
208,208,0.5629406778093159
209,209,0.5598551473144543
210,210,0.5596622699941058
211,211,0.5600692107793005
212,212,0.5567150563640336
213,213,0.5622285169697845
214,214,0.5600514280302591
215,215,0.5622674925032807
216,216,0.5636713181032864
217,217,0.5611068030486147
218,218,0.5637625729207786
219,219,0.5646660676965282
220,220,0.561019350285199
221,221,0.5601570469730891
222,222,0.5607737172928557
223,223,0.5561660253179245
224,224,0.5598819249628122
225,225,0.5626010091152958
226,226,0.5577506875030119
227,227,0.5667360743488971
228,228,0.5594325053507113
229,229,0.5578714188332505
230,230,0.5640284601691159
231,231,0.5630073875466579
232,232,0.5619853906015546
233,233,0.5579222257593898
234,234,0.5603244615678208
235,235,0.5637519528270094
236,236,0.5595545844134564
237,237,0.5579675240427413
238,238,0.5591469149007415
239,239,0.5645976908458029
240,240,0.561111234080354
241,241,0.5618475657153679
242,242,0.5603637076371193
243,243,0.5646985754237944
244,244,0.5576032265219277
245,245,0.5603370899982733
246,246,0.5636072878370506
247,247,0.5577138044886911
248,248,0.5620416916517962
249,249,0.5580341406082486
250,250,0.5634288149061701
251,251,0.5624840022616984
252,252,0.5593369937465131
253,253,0.5616962051965747
254,254,0.5611546038336346
255,255,0.558523964434523
256,256,0.5607714394892612
257,257,0.5606398498358866
258,258,0.5624639668454136
259,259,0.5634588417994801
