,n_of_feature,score
137,137,0.4825518191737611
138,138,0.47907146583747345
139,139,0.4728420338259839
140,140,0.48399053417308824
141,141,0.49139885825235635
142,142,0.49207141329999404
143,143,0.49322737940815287
144,144,0.4955761785634367
145,145,0.49703851525721116
146,146,0.49014628787769876
147,147,0.4853793530014072
148,148,0.48223937779296017
149,149,0.49156166133035234
150,150,0.48977343362031533
151,151,0.49349674397161947
152,152,0.49234915887969394
153,153,0.4910232460414182
154,154,0.4900188151142689
155,155,0.4913727456405292
156,156,0.4899893490543537
157,157,0.49023407602690644
158,158,0.48733141512154815
159,159,0.48577114475596145
160,160,0.48607473260389317
161,161,0.4851961760559824
162,162,0.48294006356138686
163,163,0.4857695424769789
164,164,0.4831122340826311
165,165,0.47730933626652483
166,166,0.47904044608477425
167,167,0.47898733824879447
168,168,0.47520106560185127
169,169,0.4775942693644385
170,170,0.47647809282193593
171,171,0.47780239976776384
172,172,0.4772121897905846
173,173,0.47594255935560426
174,174,0.4716664863253687
175,175,0.4716948685055013
176,176,0.4699254266148486
177,177,0.469285920146711
178,178,0.4672090853075635
179,179,0.46007629845688325
180,180,0.4600725846817145
181,181,0.4609395283349992
182,182,0.4671401886616355
183,183,0.46674155867397077
184,184,0.4644150131243169
185,185,0.46174333491801345
186,186,0.46495623270185293
187,187,0.4662800675858848
188,188,0.468680390643294
189,189,0.4644811376496823
190,190,0.463417132946146
191,191,0.4571932800937907
192,192,0.4574768506240868
193,193,0.45845386375462444
194,194,0.458987641600831
195,195,0.4595127227239601
196,196,0.4599629934015925
197,197,0.4616052534788069
198,198,0.4621455342545534
199,199,0.4605956530884142
200,200,0.46031922914623485
201,201,0.4599568923650995
202,202,0.46024507782730195
203,203,0.4594078607819509
204,204,0.4573635940994289
205,205,0.4581706159871254
206,206,0.45906505545560145
207,207,0.45461142455378034
208,208,0.45514915778152576
209,209,0.45588248435441336
210,210,0.4564077407581776
211,211,0.4557853443654262
212,212,0.4545569820685317
213,213,0.4557564062285432
214,214,0.4559322985193515
215,215,0.4622963794765916
216,216,0.46154671022918664
217,217,0.461772999036418
218,218,0.46468154889674107
219,219,0.4658720083037394
220,220,0.4656376830627635
221,221,0.463940805573711
222,222,0.46318505452804964
223,223,0.46359316436270426
224,224,0.4623168506787968
225,225,0.4606437664061806
226,226,0.4600503521745164
227,227,0.46004333128113917
228,228,0.4603289978339995
229,229,0.45915912054326585
230,230,0.46102258631290544
231,231,0.46044398006695025
232,232,0.4605027985334834
233,233,0.4605212539558271
234,234,0.4608126767652479
235,235,0.4609346283621929
236,236,0.46009187402329504
237,237,0.45928634393783935
238,238,0.4575714198152257
239,239,0.45725168347132694
240,240,0.4578182245912118
